ID,Criterio de realización,Sección
RE_1,Identificar el numerador y el denominador de una fracción para resolver problemas.,Sección 2
RE_2,Utilizar representaciones matemáticas como tablas o figuras para entender el significado de las fracciones.,Sección 2
RE_3,Identificar usos de las fracciones en situaciones cotidianas.,Sección 2
RE_4,Comunicar información usando el lenguaje matemático de las fracciones.,Sección 2
RE_5,Adoptar una actitud curiosa para descubrir fracciones en el día a día.,Sección 2
RE_6,Utilizar las representaciones gráficas de fracciones para resolver problemas.,Sección 3
RE_7,Estudiar las características y los tipos de fracciones a partir de sus representaciones gráficas.,Sección 3
RE_8,Reconocer aplicaciones de los distintos tipos de fracciones en la vida cotidiana.,Sección 3
RE_9,Distinguir los diferentes tipos de fracciones.,Sección 3
RE_10,Resolver problemas donde aparecen fracciones en diferentes formas como sonidos o figuras.,Sección 4
RE_11,Usar la representación en la recta de fracciones para plantear problemas.,Sección 4
RE_12,Identificar usos cotidianos de la representación de fracciones en la recta numérica.,Sección 4
RE_13,Explicar el procedimiento para representar fracciones en la recta.,Sección 4
RE_14,Controlar las malas emociones como el desánimo para superar el reto de encontrar fracciones a partir de audios.,Sección 4
RE_15,Colocar fracciones en la recta numérica de manera aproximada aprendiendo del error.,Sección 4
RE_16,Utilizar el cálculo mental o escrito con fracciones en función de cada operación y problema.,Sección 5
RE_17,Operar con fracciones para resolver problemas.,Sección 5
RE_18,Utilizar las representaciones gráficas de fracciones para identificar fracciones equivalentes y hacer operaciones.,Sección 5
RE_19,Reconocer aplicaciones de las operaciones con fracciones en la vida cotidiana.,Sección 5
RE_20,Mantener el interés a lo largo de actividades en las que hay que hacer varias operaciones con fracciones.,Sección 5
RE_21,Hacer operaciones con fracciones en grupo.,Sección 5
